school_id,school_name,education_level,municipality,administrative_post,latitude,longitude
TL-0072,EBF2 Atabae 02 (sample),Basic Education 2nd Cycle,Bobonaro,Atabae,-8.85197,125.13197
TL-0073,EBF1 Atabae 03 (sample),Basic Education 1st Cycle,Bobonaro,Atabae,-8.81415,125.11106
TL-0074,EBF1 Balibo 01 (sample),Basic Education 1st Cycle,Bobonaro,Balibo,-8.92908,125.03186
TL-0075,EBF2 Balibo 02 (sample),Basic Education 2nd Cycle,Bobonaro,Balibo,-8.99285,125.09235
TL-0076,EBF1 Balibo 03 (sample),Basic Education 1st Cycle,Bobonaro,Balibo,-8.97722,125.04216
TL-0077,EBF1 Bobonaro 01 (sample),Basic Education 1st Cycle,Bobonaro,Bobonaro,-8.95050,125.32056
TL-0078,ESG Bobonaro 02 (sample),Secondary General,Bobonaro,Bobonaro,-9.00866,125.33142
TL-0079,EBF2 Bobonaro 03 (sample),Basic Education 2nd Cycle,Bobonaro,Bobonaro,-8.96790,125.35813
TL-0080,EBF1 Bobonaro 04 (sample),Basic Education 1st Cycle,Bobonaro,Bobonaro,-8.97334,125.31493
TL-0081,EBF2 Cailaco 01 (sample),Basic Education 2nd Cycle,Bobonaro,Cailaco,-8.93051,125.26029
TL-0082,EBF2 Cailaco 02 (sample),Basic Education 2nd Cycle,Bobonaro,Cailaco,-8.93552,125.25892
TL-0083,EBF1 Cailaco 03 (sample),Basic Education 1st Cycle,Bobonaro,Cailaco,-8.86985,125.25533
TL-0084,EBF1 Lolotoe 01 (sample),Basic Education 1st Cycle,Bobonaro,Lolotoe,-9.08210,125.36061
TL-0085,JI Lolotoe 02 (sample),Pre-School,Bobonaro,Lolotoe,-9.05185,125.34714
TL-0086,EBF1 Lolotoe 03 (sample),Basic Education 1st Cycle,Bobonaro,Lolotoe,-9.01719,125.29369
TL-0087,EBF2 Lolotoe 04 (sample),Basic Education 2nd Cycle,Bobonaro,Lolotoe,-9.04911,125.36418
TL-0088,EBF2 Lolotoe 05 (sample),Basic Education 2nd Cycle,Bobonaro,Lolotoe,-9.03188,125.34801
TL-0089,EBF3 Lolotoe 06 (sample),Basic Education 3rd Cycle,Bobonaro,Lolotoe,-9.06771,125.27942
TL-0090,EBF1 Maliana 01 (sample),Basic Education 1st Cycle,Bobonaro,Maliana,-8.97532,125.18077
TL-0091,EBF2 Maliana 02 (sample),Basic Education 2nd Cycle,Bobonaro,Maliana,-9.00660,125.23295
TL-0092,IES Maliana 03 (sample),Higher Education,Bobonaro,Maliana,-9.02188,125.18611
TL-0093,EBF1 Fatululic 01 (sample),Basic Education 1st Cycle,Covalima,Fatululic,-9.21909,125.39829
TL-0094,JI Fatululic 02 (sample),Pre-School,Covalima,Fatululic,-9.24817,125.44232
TL-0095,EBF1 Fatululic 03 (sample),Basic Education 1st Cycle,Covalima,Fatululic,-9.20329,125.42152
TL-0096,EBF1 Fatululic 04 (sample),Basic Education 1st Cycle,Covalima,Fatululic,-9.26833,125.37983
TL-0097,ESG Fatululic 05 (sample),Secondary General,Covalima,Fatululic,-9.25561,125.42924
TL-0098,JI Fatululic 06 (sample),Pre-School,Covalima,Fatululic,-9.20916,125.43206
TL-0099,EBF2 Fatumean 01 (sample),Basic Education 2nd Cycle,Covalima,Fatumean,-9.30354,124.97580
TL-0100,ESTV Fatumean 02 (sample),Secondary Technical-Vocational,Covalima,Fatumean,-9.28150,125.06493
TL-0101,IES Fatumean 03 (sample),Higher Education,Covalima,Fatumean,-9.30505,124.99455
TL-0102,ESG Fatumean 04 (sample),Secondary General,Covalima,Fatumean,-9.25930,125.05616
TL-0103,EBF3 Fatumean 05 (sample),Basic Education 3rd Cycle,Covalima,Fatumean,-9.27293,124.98794
TL-0104,EBF1 Fatumean 06 (sample),Basic Education 1st Cycle,Covalima,Fatumean,-9.31974,125.03649
TL-0105,EBF1 Fohorem 01 (sample),Basic Education 1st Cycle,Covalima,Fohorem,-9.26703,125.06158
TL-0106,EBF2 Fohorem 02 (sample),Basic Education 2nd Cycle,Covalima,Fohorem,-9.25529,125.06334
TL-0107,EBF1 Fohorem 03 (sample),Basic Education 1st Cycle,Covalima,Fohorem,-9.23416,125.14402
TL-0108,ESG Fohorem 04 (sample),Secondary General,Covalima,Fohorem,-9.24927,125.06778
TL-0109,ESG Fohorem 05 (sample),Secondary General,Covalima,Fohorem,-9.26758,125.10788
TL-0110,JI Fohorem 06 (sample),Pre-School,Covalima,Fohorem,-9.24072,125.06896
TL-0111,EBF1 Maucatar 01 (sample),Basic Education 1st Cycle,Covalima,Maucatar,-9.20945,125.28371
TL-0112,EBF2 Maucatar 02 (sample),Basic Education 2nd Cycle,Covalima,Maucatar,-9.20337,125.24437
TL-0113,EBF2 Maucatar 03 (sample),Basic Education 2nd Cycle,Covalima,Maucatar,-9.22384,125.23609
TL-0114,EBF1 Suai 01 (sample),Basic Education 1st Cycle,Covalima,Suai,-9.30652,125.25096
TL-0115,JI Suai 02 (sample),Pre-School,Covalima,Suai,-9.31409,125.25476
TL-0116,ESG Suai 03 (sample),Secondary General,Covalima,Suai,-9.26661,125.25574
TL-0117,JI Tilomar 01 (sample),Pre-School,Covalima,Tilomar,-9.31582,125.12904
TL-0118,EBF1 Tilomar 02 (sample),Basic Education 1st Cycle,Covalima,Tilomar,-9.37732,125.12840
TL-0119,JI Tilomar 03 (sample),Pre-School,Covalima,Tilomar,-9.38656,125.11235
TL-0120,EBF3 Tilomar 04 (sample),Basic Education 3rd Cycle,Covalima,Tilomar,-9.33280,125.17667
TL-0121,EBF1 Tilomar 05 (sample),Basic Education 1st Cycle,Covalima,Tilomar,-9.34384,125.14543
TL-0122,ESG Tilomar 06 (sample),Secondary General,Covalima,Tilomar,-9.36249,125.10661
TL-0123,EBF1 Zumalai 01 (sample),Basic Education 1st Cycle,Covalima,Zumalai,-9.14606,125.40724
TL-0124,EBF1 Zumalai 02 (sample),Basic Education 1st Cycle,Covalima,Zumalai,-9.18234,125.43737
TL-0125,ESG Zumalai 03 (sample),Secondary General,Covalima,Zumalai,-9.21231,125.45416
TL-0126,IES Zumalai 04 (sample),Higher Education,Covalima,Zumalai,-9.15073,125.40164
TL-0127,JI Cristo Rei 01 (sample),Pre-School,Dili,Cristo Rei,-8.54932,125.58138
TL-0128,JI Cristo Rei 02 (sample),Pre-School,Dili,Cristo Rei,-8.58695,125.63891
TL-0129,EBF2 Cristo Rei 03 (sample),Basic Education 2nd Cycle,Dili,Cristo Rei,-8.55546,125.64567
TL-0130,EBF2 Cristo Rei 04 (sample),Basic Education 2nd Cycle,Dili,Cristo Rei,-8.55637,125.66128
TL-0131,JI Dom Aleixo 01 (sample),Pre-School,Dili,Dom Aleixo,-8.53285,125.52893
TL-0132,EBF1 Dom Aleixo 02 (sample),Basic Education 1st Cycle,Dili,Dom Aleixo,-8.54276,125.51340
TL-0133,EBF2 Dom Aleixo 03 (sample),Basic Education 2nd Cycle,Dili,Dom Aleixo,-8.53355,125.53180
TL-0134,EBF1 Dom Aleixo 04 (sample),Basic Education 1st Cycle,Dili,Dom Aleixo,-8.53570,125.53414
TL-0135,EBF1 Metinaro 01 (sample),Basic Education 1st Cycle,Dili,Metinaro,-8.52512,125.81817
TL-0136,ESG Metinaro 02 (sample),Secondary General,Dili,Metinaro,-8.47409,125.75654
TL-0137,EBF1 Metinaro 03 (sample),Basic Education 1st Cycle,Dili,Metinaro,-8.47194,125.76960
TL-0138,JI Nain Feto 01 (sample),Pre-School,Dili,Nain Feto,-8.51950,125.53683
TL-0139,EBF1 Nain Feto 02 (sample),Basic Education 1st Cycle,Dili,Nain Feto,-8.56843,125.59851
TL-0140,ESTV Nain Feto 03 (sample),Secondary Technical-Vocational,Dili,Nain Feto,-8.53934,125.54440
TL-0141,EBF1 Nain Feto 04 (sample),Basic Education 1st Cycle,Dili,Nain Feto,-8.57194,125.53510
TL-0142,EBF3 Nain Feto 05 (sample),Basic Education 3rd Cycle,Dili,Nain Feto,-8.56521,125.58010
TL-0143,EBF2 Vera Cruz 01 (sample),Basic Education 2nd Cycle,Dili,Vera Cruz,-8.59215,125.55123
TL-0144,EBF1 Vera Cruz 02 (sample),Basic Education 1st Cycle,Dili,Vera Cruz,-8.54494,125.60166
TL-0145,EBF1 Vera Cruz 03 (sample),Basic Education 1st Cycle,Dili,Vera Cruz,-8.53262,125.58857
TL-0146,EBF1 Vera Cruz 04 (sample),Basic Education 1st Cycle,Dili,Vera Cruz,-8.52772,125.56252
TL-0147,EBF1 Vera Cruz 05 (sample),Basic Education 1st Cycle,Dili,Vera Cruz,-8.58934,125.56971
TL-0148,IES Atsabe 01 (sample),Higher Education,Ermera,Atsabe,-8.79004,125.30902
TL-0149,EBF1 Atsabe 02 (sample),Basic Education 1st Cycle,Ermera,Atsabe,-8.77214,125.28246
TL-0150,ESTV Atsabe 03 (sample),Secondary Technical-Vocational,Ermera,Atsabe,-8.75914,125.31299
TL-0151,ESG Atsabe 04 (sample),Secondary General,Ermera,Atsabe,-8.82186,125.29992
TL-0152,EBF2 Atsabe 05 (sample),Basic Education 2nd Cycle,Ermera,Atsabe,-8.83622,125.34005
TL-0153,EBF2 Atsabe 06 (sample),Basic Education 2nd Cycle,Ermera,Atsabe,-8.79646,125.28792
TL-0154,JI Ermera 01 (sample),Pre-School,Ermera,Ermera,-8.73288,125.37231
TL-0155,JI Ermera 02 (sample),Pre-School,Ermera,Ermera,-8.73562,125.36949
TL-0156,EBF2 Ermera 03 (sample),Basic Education 2nd Cycle,Ermera,Ermera,-8.75548,125.39036
TL-0157,ESTV Ermera 04 (sample),Secondary Technical-Vocational,Ermera,Ermera,-8.78897,125.43654
TL-0158,EBF2 Ermera 05 (sample),Basic Education 2nd Cycle,Ermera,Ermera,-8.74405,125.42670
TL-0159,JI Ermera 06 (sample),Pre-School,Ermera,Ermera,-8.74855,125.42650
TL-0160,ESG Hatolia 01 (sample),Secondary General,Ermera,Hatolia,-8.74207,125.29538
TL-0161,EBF3 Hatolia 02 (sample),Basic Education 3rd Cycle,Ermera,Hatolia,-8.76808,125.32098
TL-0162,EBF2 Hatolia 03 (sample),Basic Education 2nd Cycle,Ermera,Hatolia,-8.77714,125.34640
TL-0163,EBF2 Hatolia 04 (sample),Basic Education 2nd Cycle,Ermera,Hatolia,-8.79279,125.37090
TL-0164,JI Letefoho 01 (sample),Pre-School,Ermera,Letefoho,-8.85038,125.42815
TL-0165,EBF1 Letefoho 02 (sample),Basic Education 1st Cycle,Ermera,Letefoho,-8.79818,125.39502
TL-0166,ESG Letefoho 03 (sample),Secondary General,Ermera,Letefoho,-8.81891,125.42444
TL-0167,EBF3 Letefoho 04 (sample),Basic Education 3rd Cycle,Ermera,Letefoho,-8.78724,125.42791
TL-0168,EBF1 Railaco 01 (sample),Basic Education 1st Cycle,Ermera,Railaco,-8.71754,125.42085
TL-0169,EBF1 Railaco 02 (sample),Basic Education 1st Cycle,Ermera,Railaco,-8.68044,125.43236
TL-0170,ESG Railaco 03 (sample),Secondary General,Ermera,Railaco,-8.69723,125.43184
TL-0171,EBF2 Railaco 04 (sample),Basic Education 2nd Cycle,Ermera,Railaco,-8.63565,125.42710
TL-0172,EBF2 Railaco 05 (sample),Basic Education 2nd Cycle,Ermera,Railaco,-8.69198,125.47103
TL-0173,IES Iliomar 01 (sample),Higher Education,Lautem,Iliomar,-8.68101,126.86664
TL-0174,EBF1 Iliomar 02 (sample),Basic Education 1st Cycle,Lautem,Iliomar,-8.65238,126.87345
TL-0175,EBF1 Iliomar 03 (sample),Basic Education 1st Cycle,Lautem,Iliomar,-8.61940,126.94453
TL-0176,EBF2 Iliomar 04 (sample),Basic Education 2nd Cycle,Lautem,Iliomar,-8.67989,126.88479
TL-0177,EBF1 Iliomar 05 (sample),Basic Education 1st Cycle,Lautem,Iliomar,-8.65958,126.91672
TL-0178,EBF2 Iliomar 06 (sample),Basic Education 2nd Cycle,Lautem,Iliomar,-8.69773,126.93457
TL-0179,EBF2 Lautem 01 (sample),Basic Education 2nd Cycle,Lautem,Lautem,-8.39996,126.93287
TL-0180,EBF1 Lautem 02 (sample),Basic Education 1st Cycle,Lautem,Lautem,-8.34795,126.93443
TL-0181,EBF3 Lautem 03 (sample),Basic Education 3rd Cycle,Lautem,Lautem,-8.37435,126.86725
TL-0182,EBF3 Lautem 04 (sample),Basic Education 3rd Cycle,Lautem,Lautem,-8.38559,126.92173
TL-0183,EBF1 Lospalos 01 (sample),Basic Education 1st Cycle,Lautem,Lospalos,-8.54584,127.02883
TL-0184,ESG Lospalos 02 (sample),Secondary General,Lautem,Lospalos,-8.50935,126.98995
TL-0185,ESTV Lospalos 03 (sample),Secondary Technical-Vocational,Lautem,Lospalos,-8.49659,126.96871
TL-0186,ESG Lospalos 04 (sample),Secondary General,Lautem,Lospalos,-8.46563,127.00126
TL-0187,EBF1 Luro 01 (sample),Basic Education 1st Cycle,Lautem,Luro,-8.51769,126.78524
TL-0188,EBF2 Luro 02 (sample),Basic Education 2nd Cycle,Lautem,Luro,-8.56131,126.82617
TL-0189,EBF1 Luro 03 (sample),Basic Education 1st Cycle,Lautem,Luro,-8.48636,126.82618
TL-0190,EBF1 Luro 04 (sample),Basic Education 1st Cycle,Lautem,Luro,-8.51277,126.75609
TL-0191,EBF3 Luro 05 (sample),Basic Education 3rd Cycle,Lautem,Luro,-8.50514,126.78337
TL-0192,EBF1 Tutuala 01 (sample),Basic Education 1st Cycle,Lautem,Tutuala,-8.36107,127.18225
TL-0193,EBF2 Tutuala 02 (sample),Basic Education 2nd Cycle,Lautem,Tutuala,-8.41117,127.22342
TL-0194,EBF3 Tutuala 03 (sample),Basic Education 3rd Cycle,Lautem,Tutuala,-8.38447,127.18902
TL-0195,JI Tutuala 04 (sample),Pre-School,Lautem,Tutuala,-8.38187,127.17517
TL-0196,ESTV Tutuala 05 (sample),Secondary Technical-Vocational,Lautem,Tutuala,-8.36472,127.25806
TL-0197,IES Tutuala 06 (sample),Higher Education,Lautem,Tutuala,-8.40845,127.17844
TL-0198,EBF2 Bazartete 01 (sample),Basic Education 2nd Cycle,Liquica,Bazartete,-8.65223,125.38783
TL-0199,EBF2 Bazartete 02 (sample),Basic Education 2nd Cycle,Liquica,Bazartete,-8.61597,125.41270
TL-0200,EBF3 Bazartete 03 (sample),Basic Education 3rd Cycle,Liquica,Bazartete,-8.60902,125.43860
TL-0201,JI Bazartete 04 (sample),Pre-School,Liquica,Bazartete,-8.62873,125.41002
TL-0202,EBF1 Liquica 01 (sample),Basic Education 1st Cycle,Liquica,Liquica,-8.57737,125.30377
TL-0203,EBF1 Liquica 02 (sample),Basic Education 1st Cycle,Liquica,Liquica,-8.56378,125.32232
TL-0204,IES Liquica 03 (sample),Higher Education,Liquica,Liquica,-8.63483,125.31427
TL-0205,EBF2 Maubara 01 (sample),Basic Education 2nd Cycle,Liquica,Maubara,-8.60763,125.20609
TL-0206,EBF2 Maubara 02 (sample),Basic Education 2nd Cycle,Liquica,Maubara,-8.57612,125.17250
TL-0207,EBF3 Maubara 03 (sample),Basic Education 3rd Cycle,Liquica,Maubara,-8.63083,125.15735
TL-0208,EBF3 Maubara 04 (sample),Basic Education 3rd Cycle,Liquica,Maubara,-8.58172,125.22355
TL-0209,EBF1 Barique 01 (sample),Basic Education 1st Cycle,Manatuto,Barique,-8.82342,125.93578
TL-0210,JI Barique 02 (sample),Pre-School,Manatuto,Barique,-8.90172,126.02257
TL-0211,EBF3 Barique 03 (sample),Basic Education 3rd Cycle,Manatuto,Barique,-8.84261,125.95217
TL-0212,EBF2 Laclo 01 (sample),Basic Education 2nd Cycle,Manatuto,Laclo,-8.61330,125.86823
TL-0213,EBF1 Laclo 02 (sample),Basic Education 1st Cycle,Manatuto,Laclo,-8.62065,125.90760
TL-0214,ESG Laclo 03 (sample),Secondary General,Manatuto,Laclo,-8.55581,125.86022
TL-0215,EBF1 Laclubar 01 (sample),Basic Education 1st Cycle,Manatuto,Laclubar,-8.80929,125.92861
TL-0216,JI Laclubar 02 (sample),Pre-School,Manatuto,Laclubar,-8.78636,125.88881
TL-0217,EBF1 Laclubar 03 (sample),Basic Education 1st Cycle,Manatuto,Laclubar,-8.76158,125.90300
TL-0218,EBF1 Laclubar 04 (sample),Basic Education 1st Cycle,Manatuto,Laclubar,-8.81831,125.90190
TL-0219,EBF1 Laclubar 05 (sample),Basic Education 1st Cycle,Manatuto,Laclubar,-8.75066,125.89587
TL-0220,ESG Laleia 01 (sample),Secondary General,Manatuto,Laleia,-8.51519,126.10319
TL-0221,EBF3 Laleia 02 (sample),Basic Education 3rd Cycle,Manatuto,Laleia,-8.56217,126.10958
TL-0222,EBF3 Laleia 03 (sample),Basic Education 3rd Cycle,Manatuto,Laleia,-8.55404,126.08747
TL-0223,EBF1 Laleia 04 (sample),Basic Education 1st Cycle,Manatuto,Laleia,-8.48237,126.05696
TL-0224,EBF3 Laleia 05 (sample),Basic Education 3rd Cycle,Manatuto,Laleia,-8.51142,126.10652
TL-0225,EBF1 Manatuto 01 (sample),Basic Education 1st Cycle,Manatuto,Manatuto,-8.51017,126.01161
TL-0226,EBF1 Manatuto 02 (sample),Basic Education 1st Cycle,Manatuto,Manatuto,-8.48660,125.98190
TL-0227,JI Manatuto 03 (sample),Pre-School,Manatuto,Manatuto,-8.47192,125.96792
TL-0228,ESG Manatuto 04 (sample),Secondary General,Manatuto,Manatuto,-8.51778,126.05358
TL-0229,EBF2 Soibada 01 (sample),Basic Education 2nd Cycle,Manatuto,Soibada,-8.85274,125.88572
TL-0230,EBF1 Soibada 02 (sample),Basic Education 1st Cycle,Manatuto,Soibada,-8.87499,125.85542
TL-0231,IES Soibada 03 (sample),Higher Education,Manatuto,Soibada,-8.86990,125.83651
TL-0232,EBF1 Soibada 04 (sample),Basic Education 1st Cycle,Manatuto,Soibada,-8.83706,125.87116
TL-0233,EBF1 Soibada 05 (sample),Basic Education 1st Cycle,Manatuto,Soibada,-8.84859,125.87580
TL-0234,EBF2 Alas 01 (sample),Basic Education 2nd Cycle,Manufahi,Alas,-9.09931,125.79507
TL-0235,EBF3 Alas 02 (sample),Basic Education 3rd Cycle,Manufahi,Alas,-9.12810,125.78580
TL-0236,EBF2 Alas 03 (sample),Basic Education 2nd Cycle,Manufahi,Alas,-9.16117,125.78798
TL-0237,EBF2 Fatuberliu 01 (sample),Basic Education 2nd Cycle,Manufahi,Fatuberliu,-9.03053,125.89856
TL-0238,EBF1 Fatuberliu 02 (sample),Basic Education 1st Cycle,Manufahi,Fatuberliu,-9.04227,125.87169
TL-0239,EBF1 Fatuberliu 03 (sample),Basic Education 1st Cycle,Manufahi,Fatuberliu,-9.08907,125.88794
TL-0240,EBF2 Same 01 (sample),Basic Education 2nd Cycle,Manufahi,Same,-8.97358,125.63651
TL-0241,EBF1 Same 02 (sample),Basic Education 1st Cycle,Manufahi,Same,-8.98610,125.68165
TL-0242,EBF2 Same 03 (sample),Basic Education 2nd Cycle,Manufahi,Same,-9.02088,125.66439
TL-0243,EBF1 Same 04 (sample),Basic Education 1st Cycle,Manufahi,Same,-8.97287,125.63404
TL-0244,EBF1 Same 05 (sample),Basic Education 1st Cycle,Manufahi,Same,-9.01918,125.67622
TL-0245,ESG Turiscai 01 (sample),Secondary General,Manufahi,Turiscai,-8.91322,125.63266
TL-0246,JI Turiscai 02 (sample),Pre-School,Manufahi,Turiscai,-8.91004,125.64684
TL-0247,EBF1 Turiscai 03 (sample),Basic Education 1st Cycle,Manufahi,Turiscai,-8.92379,125.64716
TL-0248,EBF3 Turiscai 04 (sample),Basic Education 3rd Cycle,Manufahi,Turiscai,-8.88976,125.68735
TL-0249,JI Turiscai 05 (sample),Pre-School,Manufahi,Turiscai,-8.91729,125.66703
